time	current	voltage
9112	99.4870861316	-48.3909364815
9113	99.5059781787	-48.4134246198
9114	99.5245166047	-48.4358137412
9115	99.5427013437	-48.4581053011
9116	99.5605323312	-48.4803007538
9117	99.5780095037	-48.5024015529
9118	99.5951327991	-48.5244091506
9119	99.6119021566	-48.5463249987
9120	99.6283175165	-48.5681505477
9121	99.6443788207	-48.5898872474
9122	99.6600860119	-48.6115365468
9123	99.6754390343	-48.6330998937
9124	99.6904378334	-48.6545787355
9125	99.705082356	-48.6759745186
9126	99.7193725498	-48.6972886885
9127	99.7333083643	-48.7185226899
9128	99.7468897497	-48.739677967
9129	99.7601166579	-48.760755963
9130	99.7729890419	-48.7817581204
9131	99.7855068559	-48.802685881
9132	99.7976700555	-48.823540686
9133	99.8094785973	-48.8443239756
9134	99.8209324395	-48.8650371897
9135	99.8320315414	-48.8856817673
9136	99.8427758634	-48.9062591468
9137	99.8531653675	-48.9267707661
9138	99.8632000166	-48.9472180623
9139	99.8728797752	-48.9676024721
9140	99.8822046088	-48.9879254313
9141	99.8911744843	-49.0081883756
9142	99.8997893698	-49.0283927397
9143	99.9080492347	-49.048539958
9144	99.9159540496	-49.0686314644
9145	99.9235037865	-49.0886686922
9146	99.9306984186	-49.1086530741
9147	99.9375379202	-49.1285860426
9148	99.944022267	-49.1484690296
9149	99.950151436	-49.1683034664
9150	99.9559254055	-49.1880907841
9151	99.9613441549	-49.2078324133
9152	99.9664076649	-49.227529784
9153	99.9711159176	-49.247184326
9154	99.9754688962	-49.2667974687
9155	99.9794665853	-49.2863706411
9156	99.9831089706	-49.3059052718
9157	99.9863960392	-49.325402789
9158	99.9893277794	-49.3448646207
9159	99.9919041808	-49.3642921944
9160	99.9941252343	-49.3836869375
9161	99.9959909319	-49.4030502768
9162	99.9975012671	-49.4223836389
9163	99.9986562344	-49.4416884503
9164	99.9994558297	-49.460966137
9165	99.9999000503	-49.4802181247
9166	99.9999888945	-49.499445839
9167	99.999722362	-49.518650705
9168	99.9991004537	-49.5378341479
9169	99.998123172	-49.5569975922
9170	99.9967905202	-49.5761424625
9171	99.995102503	-49.5952701831
9172	99.9930591266	-49.6143821779
9173	99.9906603981	-49.6334798706
9174	99.987906326	-49.652564685
9175	99.9847969202	-49.6716380442
9176	99.9813321917	-49.6907013714
9177	99.9775121528	-49.7097560894
9178	99.9733368172	-49.7288036209
9179	99.9688061995	-49.7478453884
9180	99.963920316	-49.7668828141
9181	99.958679184	-49.78591732
9182	99.953082822	-49.8049503278
9183	99.9471312501	-49.8239832592
9184	99.9408244894	-49.8430175354
9185	99.9341625622	-49.8620545777
9186	99.9271454923	-49.8810958068
9187	99.9197733045	-49.9001426435
9188	99.9120460252	-49.9191965082
9189	99.9039636817	-49.938258821
9190	99.8955263027	-49.9573310019
9191	99.8867339183	-49.9764144704
9192	99.8775865597	-49.9955106462
9193	99.8680842594	-50.0146209481
9194	99.8582270512	-50.0337467951
9195	99.84801497	-50.0528896058
9196	99.8374480523	-50.0720507983
9197	99.8265263355	-50.0912317906
9198	99.8152498585	-50.1104340002
9199	99.8036186613	-50.1296588444
9200	99.7916327853	-50.1489077401
9201	99.779292273	-50.1681821037
9202	99.7665971684	-50.1874833514
9203	99.7535475164	-50.206812899
9204	99.7401433636	-50.2261721615
9205	99.7263847576	-50.245562554
9206	99.7122717472	-50.2649854906
9207	99.6978043826	-50.2844423854
9208	99.6829827152	-50.3039346517
9209	99.6678067976	-50.3234637022
9210	99.6522766839	-50.3430309494
9211	99.6363924292	-50.3626378047
9212	99.6201540899	-50.3822856794
9213	99.6035617238	-50.4019759838
9214	99.5866153898	-50.4217101278
9215	99.5693151482	-50.4414895204
9216	99.5516610604	-50.4613155699
9217	99.5336531892	-50.4811896841
9218	99.5152915985	-50.5011132696
9219	99.4965763536	-50.5210877324
9220	99.4775075211	-50.5411144777
9221	99.4580851687	-50.5611949098
9222	99.4383093653	-50.5813304318
9223	99.4181801814	-50.6015224463
9224	99.3976976884	-50.6217723543
9225	99.3768619591	-50.6420815564
9226	99.3556730676	-50.6624514515
9227	99.3341310891	-50.6828834378
9228	99.3122361003	-50.7033789121
9229	99.2899881788	-50.72393927
9230	99.2673874039	-50.744565906
9231	99.2444338558	-50.7652602129
9232	99.2211276161	-50.7860235826
9233	99.1974687675	-50.8068574052
9234	99.1734573943	-50.8277630695
9235	99.1490935817	-50.8487419627
9236	99.1243774162	-50.8697954704
9237	99.0993089858	-50.8909249768
9238	99.0738883796	-50.912131864
9239	99.0481156877	-50.9334175126
9240	99.021991002	-50.9547833014
9241	98.9955144151	-50.9762306071
9242	98.9686860212	-50.9977608048
9243	98.9415059156	-51.0193752672
9244	98.913974195	-51.0410753652
9245	98.8860909571	-51.0628624675
9246	98.857856301	-51.0847379405
9247	98.8292703272	-51.1067031484
9248	98.8003331371	-51.128759453
9249	98.7710448336	-51.1509082137
9250	98.7414055209	-51.1731507874
9251	98.7114153041	-51.1954885285
9252	98.68107429	-51.2179227884
9253	98.6503825863	-51.2404549162
9254	98.6193403021	-51.2630862579
9255	98.5879475477	-51.2858181568
9256	98.5562044347	-51.3086519529
9257	98.5241110758	-51.3315889836
9258	98.4916675852	-51.3546305826
9259	98.4588740782	-51.3777780807
9260	98.4257306712	-51.4010328054
9261	98.3922374821	-51.4243960805
9262	98.3583946299	-51.4478692265
9263	98.3242022349	-51.4714535601
9264	98.2896604185	-51.4951503946
9265	98.2547693035	-51.5189610391
9266	98.219529014	-51.542886799
9267	98.1839396751	-51.5669289756
9268	98.1480014133	-51.5910888663
9269	98.1117143564	-51.6153677639
9270	98.0750786333	-51.6397669571
9271	98.0380943742	-51.6642877303
9272	98.0007617105	-51.688931363
9273	97.9630807749	-51.7136991304
9274	97.9250517013	-51.7385923026
9275	97.8866746249	-51.7636121451
9276	97.8479496821	-51.7887599183
9277	97.8088770104	-51.8140368773
9278	97.7694567487	-51.8394442723
9279	97.7296890371	-51.8649833478
9280	97.6895740169	-51.8906553431
9281	97.6491118308	-51.9164614918
9282	97.6083026224	-51.9424030218
9283	97.5671465368	-51.968481155
9284	97.5256437203	-51.9946971074
9285	97.4837943204	-52.0210520891
9286	97.4415984857	-52.0475473036
9287	97.3990563663	-52.0741839482
9288	97.3561681133	-52.1009632138
9289	97.3129338792	-52.1278862844
9290	97.2693538175	-52.1549543375
9291	97.2254280832	-52.1821685434
9292	97.1811568324	-52.2095300655
9293	97.1365402223	-52.23704006
9294	97.0915784116	-52.2646996757
9295	97.04627156	-52.292510054
9296	97.0006198285	-52.3204723284
9297	96.9546233794	-52.3485876249
9298	96.9082823762	-52.3768570615
9299	96.8615969835	-52.4052817481
9300	96.8145673672	-52.4338627862
9301	96.7671936944	-52.4626012692
9302	96.7194761336	-52.4914982817
9303	96.6714148543	-52.5205548997
9304	96.6230100272	-52.5497721904
9305	96.5742618245	-52.579151212
9306	96.5251704193	-52.6086930134
9307	96.4757359862	-52.6383986343
9308	96.4259587007	-52.6682691047
9309	96.3758387398	-52.6983054451
9310	96.3253762816	-52.7285086663
9311	96.2745715055	-52.7588797688
9312	96.2234245919	-52.7894197433
9313	96.1719357227	-52.8201295699
9314	96.1201050808	-52.8510102183
9315	96.0679328504	-52.8820626475
9316	96.0154192169	-52.9132878059
9317	95.962564367	-52.9446866307
9318	95.9093684885	-52.9762600478
9319	95.8558317704	-53.0080089722
9320	95.801954403	-53.0399343069
9321	95.7477365777	-53.0720369435
9322	95.6931784873	-53.1043177617
9323	95.6382803255	-53.1367776291
9324	95.5830422876	-53.1694174011
9325	95.5274645698	-53.2022379208
